micro_agg,neg_corr,precision,accuracy,recall,tau,u,auc,eor,dpr,epsilon,eOdds,f,f1,k
1.0,0.0,0.7164900760798163,0.6859999999999999,0.9143905434900532,0.1,,0.5342382157307988,0.1533140840376076,0.15711137146028342,,0.3066416398109838,,0.8026874961419661,50.0
0.0,1.0,0.7906527057507617,0.743,0.8593835469083567,0.1,,0.6644894338425293,0.06515705553476453,0.12041713382978556,,0.2628636099441053,,0.8233806007535028,50.0
1.0,1.0,0.7164900760798163,0.6859999999999999,0.9143905434900532,0.1,,0.5342382157307988,0.1533140840376076,0.15711137146028342,,0.3066416398109838,,0.8026874961419661,50.0
0.0,0.0,0.7979604299524321,0.75,0.8592951564531284,0.1,,0.6763640727953228,0.0660644964527201,0.13736714854284915,,0.2950138637767005,,0.8273002472643775,60.0
1.0,0.0,0.7185124480039734,0.701,0.9412170926215024,0.1,,0.5405246437894593,0.08734831985909737,0.0835459942353862,,0.1945136231544316,,0.8147280522454243,60.0
0.0,1.0,0.7979604299524321,0.75,0.8592951564531284,0.1,,0.6763640727953228,0.0660644964527201,0.13736714854284915,,0.2950138637767005,,0.8273002472643775,60.0
1.0,1.0,0.7185124480039734,0.701,0.9412170926215024,0.1,,0.5405246437894593,0.08734831985909737,0.0835459942353862,,0.1945136231544316,,0.8147280522454243,60.0
0.0,0.0,0.7863225240196813,0.74,0.8627542811540959,0.1,,0.6580382111870182,0.057164726323906186,0.11382890361322348,,0.2337430096049759,,0.8225942827475347,70.0
1.0,0.0,0.7157767600256397,0.698,0.9443146751692144,0.1,,0.5339018890951591,0.08306361053320573,0.10456540771063713,,0.22069056079173494,,0.8137759521365068,70.0
0.0,1.0,0.7863225240196813,0.74,0.8627542811540959,0.1,,0.6580382111870182,0.057164726323906186,0.11382890361322348,,0.2337430096049759,,0.8225942827475347,70.0
1.0,1.0,0.7157767600256397,0.698,0.9443146751692144,0.1,,0.5339018890951591,0.08306361053320573,0.10456540771063713,,0.22069056079173494,,0.8137759521365068,70.0
0.0,0.0,0.7932489292887238,0.746,0.8611955972101935,0.1,,0.6684313964096027,0.06944771758931463,0.12078761756226775,,0.2614643715719129,,0.8255270046850527,80.0
1.0,0.0,0.7075488655002734,0.687,0.9410174555979091,0.1,,0.5165409319553682,0.035221329455572103,0.023475003372318427,,0.08696894172950016,,0.8076508284649396,80.0
0.0,1.0,0.7932489292887238,0.746,0.8611955972101935,0.1,,0.6684313964096027,0.06944771758931463,0.12078761756226775,,0.2614643715719129,,0.8255270046850527,80.0
1.0,1.0,0.7075488655002734,0.687,0.9410174555979091,0.1,,0.5165409319553682,0.035221329455572103,0.023475003372318427,,0.08696894172950016,,0.8076508284649396,80.0
