accuracy,f1,precision,recall,auc,dpr,eor,eOdds,kf,t,k,u,f,lf,nc,m,e
0.614,0.7177347785493853,0.7344318091864132,0.7070388553923327,0.5530029423264049,0.04174412628015336,0.0342177430542405,0.1132629116195329,2,0.3,30.0,0.0,0.0,0.0,1.0,1.0,1.0
0.587,0.697784567705622,0.7127884266621479,0.6898309787675351,0.5197914945658694,0.07601648143684364,0.05975131859073681,0.1685048864000322,2,0.4,30.0,0.0,0.0,0.0,0.0,0.0,1.0
0.5940000000000001,0.6976711660491889,0.7253197387148889,0.6754007542701215,0.5408505737636282,0.09607777295116912,0.09139703580360162,0.25718347460861624,2,0.4,30.0,0.0,0.0,0.0,0.0,1.0,1.0
0.586,0.7047909724787976,0.7009980476932433,0.7101382767262985,0.5034052313956754,0.06195293988672952,0.06678806039259337,0.13400632465420131,2,0.4,30.0,0.0,0.0,0.0,1.0,0.0,1.0
0.599,0.7125397366966115,0.7203823394672416,0.7104030435590076,0.5276045681807794,0.09635068683217785,0.10385862376422572,0.17260489989440275,2,0.4,30.0,0.0,0.0,0.0,1.0,1.0,1.0
0.577,0.6972602574881993,0.6989417371390116,0.6961405899194061,0.49606625506671803,0.09148551664597257,0.0810496413776979,0.1784272268357787,2,0.5,30.0,0.0,0.0,0.0,0.0,0.0,1.0
0.5959999999999999,0.7000885973738008,0.7328475628155794,0.6719274709149985,0.546318740095327,0.08055921346749359,0.07069487943370763,0.16155957429221052,2,0.5,30.0,0.0,0.0,0.0,0.0,1.0,1.0
0.539,0.658777825850027,0.6845141459265797,0.6369779915673262,0.47479533005989366,0.11276513231778125,0.11738637752353509,0.2516197418033389,2,0.5,30.0,0.0,0.0,0.0,1.0,0.0,1.0
0.547,0.6517871389862393,0.7005853172982291,0.615159248083525,0.5029551731069144,0.07434032291344421,0.10233924176958231,0.1652742023825615,2,0.5,30.0,0.0,0.0,0.0,1.0,1.0,1.0
0.579,0.6970225481721476,0.6930345595421097,0.7068972136871894,0.49316987722512307,0.051447047871801474,0.06766802346941377,0.15897938348046417,2,0.6,30.0,0.0,0.0,0.0,0.0,0.0,1.0
0.538,0.6423344494242421,0.6885397879286038,0.6071495135490965,0.4893734597159277,0.10667616227286947,0.15280515555087668,0.24255761034977114,2,0.6,30.0,0.0,0.0,0.0,0.0,1.0,1.0
0.554,0.6691176678693628,0.6959311582286218,0.6443164955676057,0.49230110054618514,0.06232618954773102,0.0767051160443298,0.18987270645650223,2,0.6,30.0,0.0,0.0,0.0,1.0,0.0,1.0
0.58,0.6932708677774574,0.706102937199113,0.6822348792009371,0.5088971082832489,0.06756571537310978,0.09165994869926172,0.1899624351751228,2,0.6,30.0,0.0,0.0,0.0,1.0,1.0,1.0
0.5770000000000001,0.7047156564061101,0.6912818653045475,0.7217754952311078,0.4819260844368404,0.051443834777347465,0.07069725681630586,0.13085340367523907,2,0.7,30.0,0.0,0.0,0.0,0.0,0.0,1.0
0.5660000000000001,0.6768278499148785,0.6943924526814526,0.6649246557332436,0.4950329876647038,0.11185822319567118,0.11540031415514798,0.250679044898275,2,0.7,30.0,0.0,0.0,0.0,0.0,1.0,1.0
0.5549999999999999,0.65774924525751,0.6965632880446515,0.6378837225124441,0.5023489398846515,0.1064655181887599,0.080333953355742,0.22121047560997323,2,0.7,30.0,0.0,0.0,0.0,1.0,0.0,1.0
0.5370000000000001,0.6093443074173832,0.7355962895251931,0.5361879202775831,0.5370477275114813,0.09579050705053507,0.09759847354519939,0.17262684335685097,2,0.7,30.0,0.0,0.0,0.0,1.0,1.0,1.0
0.5890000000000001,0.6968169873764885,0.7186335406980083,0.6777025836785654,0.526100370023094,0.12642804746389605,0.11815330836839104,0.24954165602608852,2,0.8,30.0,0.0,0.0,0.0,0.0,0.0,1.0
0.5730000000000001,0.6954030568432964,0.694873072016619,0.6969950555037631,0.4876727226556371,0.07520550540064228,0.06518276966784473,0.16031601879490193,2,0.8,30.0,0.0,0.0,0.0,0.0,1.0,1.0
0.567,0.67803845318882,0.700118934946329,0.658386336347104,0.5047552652383052,0.06622428096395201,0.07899115756607433,0.2059371858588519,2,0.8,30.0,0.0,0.0,0.0,1.0,0.0,1.0
0.5189999999999999,0.6271393866174748,0.6791475360996517,0.5925765256869245,0.47478257862970824,0.09191127322044376,0.09769395371521664,0.19863284705349077,2,0.8,30.0,0.0,0.0,0.0,1.0,1.0,1.0
0.649,0.7586895858621837,0.7305500588458964,0.7899201599008526,0.5545128553645728,0.046228368976267496,0.05525455347010342,0.11005352758796297,2,0.9,30.0,0.0,0.0,0.0,0.0,0.0,1.0
0.5850000000000001,0.7055649408070739,0.7014249636691023,0.7129680952197074,0.49717182597534515,0.047082793634718324,0.050356095138383794,0.13996720558540754,2,0.9,30.0,0.0,0.0,0.0,0.0,1.0,1.0
0.575,0.6851643060666606,0.7123988194792708,0.6620658028048846,0.5195247257935837,0.07482689180249154,0.06037639561209864,0.18108405373461745,2,0.9,30.0,0.0,0.0,0.0,1.0,0.0,1.0
0.56,0.6633132349055348,0.714236471420507,0.6209219122641527,0.5195801521397115,0.11525201149207445,0.13760170567857935,0.21577763038701175,2,0.9,30.0,0.0,0.0,0.0,1.0,1.0,1.0
0.6140000000000001,0.7278133431785766,0.7175892953042624,0.7390209014833489,0.5273061026822795,0.1164391786003867,0.1257991471179158,0.2880226709513467,2,1.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0
0.585,0.699352200115445,0.6871493885119946,0.722364109098866,0.48713135274259667,0.0674453993521312,0.08514319750256427,0.15335417938227683,2,1.0,30.0,0.0,0.0,0.0,0.0,1.0,1.0
0.5660000000000001,0.6730075117091371,0.7100649963044321,0.6413483819600359,0.5129314716030967,0.09761864371661515,0.11263056500068007,0.18144267875087433,2,1.0,30.0,0.0,0.0,0.0,1.0,0.0,1.0
0.483,0.5838667003885603,0.668382201118465,0.5192917179228335,0.4592808120848596,0.08367302251535855,0.10248430404677848,0.17347232656730877,2,1.0,30.0,0.0,0.0,0.0,1.0,1.0,1.0
0.56,0.6683707444388747,0.7006722558660139,0.6406136213608121,0.5034008550962314,0.12311817796794813,0.13497444142528553,0.280259354821654,2,0.0,40.0,0.0,0.0,0.0,0.0,0.0,1.0
0.575,0.6818855929943778,0.7119525670477045,0.656519287948411,0.5205226356414471,0.07872538462025605,0.08265478717140615,0.19551151165351763,2,0.0,40.0,0.0,0.0,0.0,0.0,1.0,1.0
0.594,0.7193669545208018,0.6951092423844872,0.7522964601525824,0.49037865729305785,0.06535823998158927,0.09045466136955124,0.15502748718076714,2,0.0,40.0,0.0,0.0,0.0,1.0,0.0,1.0
