k,u,f,tau,neg_corr,micro_agg,epsilon,perf_name,perf_val,fair_name,fair_val
70.0,,,0.2,0.0,1.0,,accuracy,0.7729791975300958,dpr,0.19669314538448449
70.0,,,0.2,1.0,0.0,,accuracy,0.8482232661873381,dpr,0.13454184493092933
70.0,,,0.2,1.0,1.0,,accuracy,0.7708908067441002,dpr,0.15453176822160386
80.0,,,0.2,0.0,0.0,,accuracy,0.8504651205998511,dpr,0.17410870199038905
80.0,,,0.2,0.0,1.0,,accuracy,0.7776784882323804,dpr,0.21311665922028275
80.0,,,0.2,1.0,0.0,,accuracy,0.8488067193905519,dpr,0.14010808253288645
80.0,,,0.2,1.0,1.0,,accuracy,0.7720275947820858,dpr,0.1690230370963968
90.0,,,0.2,0.0,0.0,,accuracy,0.8503115956708771,dpr,0.17724105410933086
90.0,,,0.2,0.0,1.0,,accuracy,0.7705227467952019,dpr,0.19878927945898225
90.0,,,0.2,1.0,0.0,,accuracy,0.8503730018700079,dpr,0.14883808077631222
90.0,,,0.2,1.0,1.0,,accuracy,0.7702767400372191,dpr,0.1735940469689371
100.0,,,0.2,0.0,0.0,,accuracy,0.8504343797756972,dpr,0.17587998226710286
100.0,,,0.2,0.0,1.0,,accuracy,0.7636740693626922,dpr,0.19303387165238411
100.0,,,0.2,1.0,0.0,,accuracy,0.8496359765820845,dpr,0.14990075622256285
100.0,,,0.2,1.0,1.0,,accuracy,0.763980954175565,dpr,0.16498165409840473
,3.0,7.0,0.3,0.0,0.0,,accuracy,0.8406067566247207,dpr,0.10456975562413012
,3.0,7.0,0.3,0.0,1.0,,accuracy,0.8409138583539782,dpr,0.22138313887001398
,3.0,7.0,0.3,1.0,0.0,,accuracy,0.8001904242922206,dpr,0.014262075905987931
,3.0,7.0,0.3,1.0,1.0,,accuracy,0.8089126321162251,dpr,0.058943051912624216
,7.0,13.0,0.3,0.0,0.0,,accuracy,0.8480082784723504,dpr,0.13545682125707795
,7.0,13.0,0.3,0.0,1.0,,accuracy,0.8156996534242043,dpr,0.26991740787587426
,7.0,13.0,0.3,1.0,0.0,,accuracy,0.8027087150590144,dpr,0.010083652378133369
