tau,accuracy,f1,precision,recall,auc,dpr,eor,eOdds,kf,k,u,f,lf,nc,m
0.1,0.6745331252862132,0.7167241364035906,0.6733068939350458,0.7668091903451988,0.667341095747523,0.16420951005583415,0.09916270173560553,0.2804134974449738,2,0.0,65.4,34.6,0.0,0.0,0.0
0.1,0.6719275761287935,0.7270676073257325,0.6576762971247855,0.8133842555876623,0.6608173543821698,0.3090897427256647,0.21268897605462453,0.5845045088357518,2,0.0,65.4,34.6,0.0,0.0,1.0
0.1,0.6745331252862132,0.7167241364035906,0.6733068939350458,0.7668091903451988,0.667341095747523,0.16420951005583415,0.09916270173560553,0.2804134974449738,2,0.0,65.4,34.6,0.0,1.0,0.0
0.1,0.6719275761287935,0.7270676073257325,0.6576762971247855,0.8133842555876623,0.6608173543821698,0.3090897427256647,0.21268897605462453,0.5845045088357518,2,0.0,65.4,34.6,0.0,1.0,1.0
0.1,0.6754028991764394,0.7201457898204762,0.6708751052012418,0.7778447907902708,0.6673678425931777,0.16438349637847072,0.09993607230844562,0.28053501314664764,2,10.0,0.0,0.0,0.0,0.0,0.0
0.1,0.6719275761287935,0.7200439983514044,0.6648805397538536,0.7858743561524208,0.6629524402251028,0.19005363164895614,0.11996739704411818,0.3359544760190304,2,10.0,0.0,0.0,0.0,0.0,1.0
0.1,0.6738110033732555,0.7078058129903148,0.6823870824312372,0.7361383353833724,0.6690600829034901,0.11317355114966872,0.05751352617537149,0.1919750988650721,2,10.0,0.0,0.0,0.0,1.0,0.0
0.1,0.6707688905981635,0.7081977457074246,0.6760826108919912,0.7441651400231761,0.6650754149771366,0.14220430502384324,0.07293133915147014,0.23827681967114295,2,10.0,0.0,0.0,0.0,1.0,1.0
0.1,0.6787324565034462,0.7196042827960684,0.6775969789517465,0.767841355478955,0.6717354202550421,0.17768898431853536,0.10861929620348747,0.3069709937454807,2,20.0,0.0,0.0,0.0,0.0,0.0
0.1,0.6690314386584104,0.7217256572891182,0.65822712656117,0.7993260279551448,0.6587132001963308,0.2063279526732266,0.12852149961070755,0.37281738201379,2,20.0,0.0,0.0,0.0,0.0,1.0
0.1,0.6794559407128583,0.7191205909361786,0.6795739170722487,0.7643185031946316,0.6728074573882188,0.17356068595014654,0.10624733907954578,0.2977868969555799,2,20.0,0.0,0.0,0.0,1.0,0.0
0.1,0.6699006885884617,0.7215014059436118,0.6599332973675802,0.7963855704766549,0.6599124691185829,0.19887849776264688,0.12155771723805273,0.35707928177401993,2,20.0,0.0,0.0,0.0,1.0,1.0
0.1,0.6782981983105427,0.7187015890892006,0.6778466483940723,0.7654182625421116,0.6714474997018092,0.18221568885474587,0.11240190864624493,0.31643436639495354,2,30.0,0.0,0.0,0.0,0.0,0.0
0.1,0.6662829531652958,0.7167362557483673,0.6586203976623084,0.7864244956514129,0.6566658856211751,0.21404467229836782,0.14374148982769414,0.38577757289028286,2,30.0,0.0,0.0,0.0,0.0,1.0
0.1,0.6785876339111216,0.7188826372559307,0.6781740820191879,0.7654182625421116,0.6717643507592337,0.18135545788735602,0.11240190864624493,0.3143454653859544,2,30.0,0.0,0.0,0.0,1.0,0.0
0.1,0.6659935175647169,0.7164896315954381,0.6583906336562517,0.7861627155467008,0.6563799568091292,0.2127491856182467,0.14301946816704433,0.3831343260473688,2,30.0,0.0,0.0,0.0,1.0,1.0
0.1,0.6788772790957704,0.7192529774265503,0.6782390997062034,0.766202361644861,0.6719931010055088,0.17988484413209013,0.1111860171120322,0.31118689412699285,2,40.0,0.0,0.0,0.0,0.0,0.0
0.1,0.6664260990850607,0.7252057445385267,0.6507374290118262,0.8196088720842589,0.6543589480775547,0.2138122907135127,0.13717931325894633,0.38925368986918835,2,40.0,0.0,0.0,0.0,0.0,1.0
